label,message,cleaned_message,message_length,digit_ratio,capital_ratio,special_char_count
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazi avail bugi n great world la e buffet cine got amor wat,111,0.0,0.03614457831325301,0
ham,Ok lar... Joking wif u oni...,ok lar joke wif u oni,29,0.0,0.1111111111111111,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18,155,0.16129032258064516,0.10309278350515463,0
ham,U dun say so early hor... U c already then say...,u dun say earli hor u c alreadi say,49,0.0,0.06060606060606061,0
ham,"Nah I don't think he goes to usf, he lives around here though",nah dont think goe usf live around though,61,0.0,0.0425531914893617,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darl 3 week word back id like fun still tb ok xxx std chg send å£150 rcv,148,0.02702702702702703,0.0673076923076923,2
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aid patent,77,0.0,0.03333333333333333,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,160,0.00625,0.078125,0
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valu network custom select receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,158,0.12025316455696203,0.11214953271028037,3
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,154,0.08441558441558442,0.12612612612612611,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gon na home soon dont want talk stuff anymor tonight k ive cri enough today,109,0.0,0.024096385542168676,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info,136,0.16176470588235295,0.20987654320987653,1
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,156,0.1282051282051282,0.39215686274509803,2
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,196,0.0,0.019230769230769232,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday,35,0.0,1.0,2
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,149,0.0,0.19166666666666668,0
ham,Oh k...i'm watching here:),oh kim watch,26,0.0,0.058823529411764705,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u rememb 2 spell name ye v naughti make v wet,81,0.012345679012345678,0.05263157894736842,0
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine thatåõ way u feel thatåõ way gota b,58,0.0,0.08888888888888889,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txtì¼120 poboxox36504w45wq 16,156,0.14743589743589744,0.32673267326732675,0
ham,Is that seriously how you spell his name?,serious spell name,41,0.0,0.030303030303030304,0
ham,IÛ÷m going to try for 2 months ha ha only joking,iû÷m go tri 2 month ha ha joke,49,0.02040816326530612,0.05555555555555555,0
ham,So Ì_ pay first lar... Then when is da stock comin...,ì pay first lar da stock comin,53,0.0,0.08333333333333333,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,88,0.011363636363636364,0.046153846153846156,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner,57,0.0,0.06666666666666667,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol,144,0.0,0.07272727272727272,0
ham,Lol your always so convincing.,lol alway convinc,30,0.0,0.04,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bu fri egg make tea eat mom left dinner feel love,134,0.0,0.061855670103092786,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp pack car ill let know there room,75,0.0,0.037037037037037035,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vagu rememb feel like lol,64,0.0,0.10204081632653061,1
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait that still clear sure sarcast that x doesnt want live us,130,0.0,0.009900990099009901,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go badli cheer,189,0.010582010582010581,0.03597122302158273,2
ham,K tell me anything about you.,k tell anyth,29,0.0,0.043478260869565216,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint housework quick cuppa,84,0.0,0.029850746268656716,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscript rington uk mobil charg å£5month pleas confirm repli ye repli charg,159,0.006289308176100629,0.10236220472440945,0
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look time msg ì xuhui go learn 2nd may lesson 8am,123,0.016260162601626018,0.04597701149425287,0
ham,"Oops, I'll let you know when my roommate's done",oop ill let know roommat done,47,0.0,0.05555555555555555,0
ham,I see the letter B on my car,see letter b car,28,0.0,0.09523809523809523,0
ham,Anything lor... U decide...,anyth lor u decid,27,0.0,0.1111111111111111,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how saturday go text see youd decid anyth tomo im tri invit anyth,155,0.0,0.03361344537815126,2
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pl go ahead watt want sure great weekend abiola,82,0.0,0.06349206349206349,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummi,142,0.0,0.10638297872340426,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,172,0.12790697674418605,0.061946902654867256,0
ham,WHO ARE YOU SEEING?,see,19,0.0,1.0,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endow ltgt inch,72,0.0,0.0625,1
ham,No calls..messages..missed calls,callsmessagesmiss call,32,0.0,0.038461538461538464,0
ham,Didn't you get hep b immunisation in nigeria.,didnt get hep b immunis nigeria,45,0.0,0.027777777777777776,0
ham,"Fair enough, anything going on?",fair enough anyth go,31,0.0,0.04,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hope tyler cant could mayb ask around bit,67,0.0,0.038461538461538464,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker,148,0.0,0.0625,0
ham,What you thinked about me. First time you saw me in class.,think first time saw class,58,0.0,0.044444444444444446,0
